Date,Revenue,Orders,Customers,Quantity,Lag1,Lag7,Lag30,RollingMean,RollingStd,RollingMin,RollingMax,RollingMedian,RevenueGrowth,PredictedRevenue,ForecastError,AbsoluteError
2010-01-14,16405.12,51,43,8402,5405.11,3022.85,24471.05,9256.138571428572,3883.268000745536,5405.11,16405.12,7593.29,2.035113068929217,13825.563443333394,2579.5565566666046,2579.5565566666046
2010-01-15,8567.67,39,33,4393,16405.12,12409.15,20745.38,8707.355714285713,3626.361623095778,5405.11,16405.12,7593.29,-0.4777441432918503,8824.985999999974,-257.3159999999734,257.3159999999734
2010-01-17,10808.25,39,35,6400,8567.67,9331.75,27562.37,8918.284285714286,3710.6927535787504,5405.11,16405.12,7593.29,0.2615156746233222,10475.08638000001,333.16361999999026,333.16361999999026
2010-01-18,8249.52,33,31,4903,10808.25,6817.900000000001,20156.46,9122.801428571427,3613.8226519593113,5405.11,16405.12,8249.52,-0.2367386024564568,9071.712013333341,-822.1920133333406,822.1920133333406
2010-01-19,11918.201,40,37,8291,8249.52,6830.650000000001,7016.16,9849.59442857143,3587.501198545292,5405.11,16405.12,8567.67,0.444714480357645,11527.983199999948,390.2178000000513,390.2178000000513
2010-01-20,6670.64,28,25,4012,11918.201,7593.29,18854.33,9717.787285714285,3699.419297258448,5405.11,16405.12,8567.67,-0.440298078543901,8020.927659999983,-1350.2876599999827,1350.2876599999827
2010-01-21,12102.56,43,42,6940,6670.64,5405.11,19789.38,10674.56585714286,3235.073355851473,6670.64,16405.12,10808.25,0.8143026756053391,11751.417940000032,351.1420599999674,351.1420599999674
2010-01-22,11776.62,36,35,7332,12102.56,16405.12,21749.45,10013.351571428571,2164.449119082554,6670.64,12102.56,10808.25,-0.0269314921801667,10921.296436666717,855.3235633332843,855.3235633332843
2010-01-24,11969.73,49,48,6794,11776.62,8567.67,15049.58,10499.360142857144,2167.6804409276074,6670.64,12102.56,11776.62,0.0163977440046463,11556.362169999995,413.3678300000047,413.3678300000047
2010-01-25,13068.5,44,43,7049,11969.73,10808.25,18565.34,10822.253,2379.3654281915105,6670.64,13068.5,11918.201,0.0917957213738323,12183.749516666667,884.7504833333332,884.7504833333332
2010-01-26,12527.74,56,51,7806,13068.5,8249.52,13556.17,11433.427285714284,2146.4416992816004,6670.64,13068.5,11969.73,-0.0413788881662011,12047.769113333366,479.9708866666333,479.9708866666333
2010-01-27,11141.38,45,43,7069,12527.74,11918.201,14968.1,11322.452857142856,2137.262681053452,6670.64,13068.5,11969.73,-0.1106632161906298,11451.25407333329,-309.87407333329065,309.87407333329065
2010-01-28,13167.0,45,41,8326,11141.38,6670.64,20438.09,12250.504285714283,723.5774241884768,11141.38,13167.0,12102.56,0.1818105118037443,13250.748296666663,-83.74829666666301,83.74829666666301
2010-01-29,9638.581,39,32,5761,13167.0,12102.56,18357.06,11898.507285714286,1229.7918696192287,9638.581,13167.0,11969.73,-0.2679744057112477,10352.181176666614,-713.6001766666141,713.6001766666141
2010-01-31,12947.64,47,46,8388,9638.581,11776.62,20577.36,12065.795857142855,1288.6849197496383,9638.581,13167.0,12527.74,0.3433139172664523,12582.469223333348,365.17077666665136,365.17077666665136
2010-02-01,10772.891,48,45,6363,12947.64,11969.73,16354.27,11894.818857142856,1379.7339908688182,9638.581,13167.0,12527.74,-0.1679648955330855,11089.913853333292,-317.022853333292,317.022853333292
2010-02-02,10669.83,38,32,6697,10772.891,13068.5,13768.96,11552.151714285714,1336.857022573301,9638.581,13167.0,11141.38,-0.0095666984841858,10884.832363333357,-215.0023633333567,215.0023633333567
2010-02-03,10124.591,41,39,6770,10669.83,12527.74,7200.33,11208.844714285717,1353.037287539117,9638.581,13167.0,10772.891,-0.0511010016092102,10645.570686666677,-520.9796866666766,520.9796866666766
2010-02-04,15401.09,53,46,8664,10124.591,11141.38,4406.8,11817.374714285714,2080.162939549341,9638.581,15401.09,10772.891,0.521156755863027,13523.566583333306,1877.5234166666942,1877.5234166666942
2010-02-05,8943.62,34,32,5942,15401.09,13167.0,2099.45,11214.034714285715,2230.519774525184,8943.62,15401.09,10669.83,-0.4192865569904467,9726.26725666671,-782.6472566667089,782.6472566667089
2010-02-07,5904.22,26,26,3200,8943.62,9638.581,5123.7300000000005,10680.554571428573,2988.0646256318787,5904.22,15401.09,10669.83,-0.3398400200366295,7792.745676666669,-1888.525676666669,1888.525676666669
2010-02-08,10216.67,48,45,6117,5904.22,12947.64,4645.06,10290.416,2816.06217564142,5904.22,15401.09,10216.67,0.7304013061843901,9921.787523333309,294.8824766666912,294.8824766666912
2010-02-09,12683.83,50,50,8167,10216.67,10772.891,9395.44,10563.407285714286,2959.5950122077284,5904.22,15401.09,10216.67,0.2414837711309065,11764.059206666701,919.7707933332986,919.7707933332986
2010-02-10,4778.6900000000005,27,24,2676,12683.83,10669.83,3022.85,9721.81585714286,3675.343774640237,4778.6900000000005,15401.09,10124.591,-0.6232455023443234,6049.939773333311,-1271.2497733333103,1271.2497733333103
2010-02-11,9458.92,46,42,5264,4778.6900000000005,10124.591,12409.15,9626.72,3671.79554242879,4778.6900000000005,15401.09,9458.92,0.9793960269446228,9601.365796666645,-142.44579666664504,142.44579666664504
2010-02-12,6297.03,26,25,3808,9458.92,15401.09,9331.75,8326.14,2792.7114446000146,4778.6900000000005,12683.83,8943.62,-0.3342760061402359,7200.671050000013,-903.6410500000129,903.6410500000129
2010-02-14,11448.71,39,34,7296,6297.03,8943.62,6817.900000000001,8684.01,3035.020279256781,4778.6900000000005,12683.83,9458.92,0.8181126658122959,10505.842289999982,942.8677100000168,942.8677100000168
2010-02-15,10729.641,32,30,6695,11448.71,5904.22,6830.650000000001,9373.355857142858,2840.1607449151084,4778.6900000000005,12683.83,10216.67,-0.0628078621958282,10722.75275999997,6.888240000029327,6.888240000029327
2010-02-16,14283.42,53,48,8863,10729.641,10216.67,7593.29,9954.320142857145,3401.8130699241487,4778.6900000000005,14283.42,10729.641,0.331211361125689,12909.0037733333,1374.4162266667008,1374.4162266667008
2010-02-17,11214.15,40,37,7378,14283.42,12683.83,5405.11,9744.365857142857,3247.110884317537,4778.6900000000005,14283.42,10729.641,-0.2148834102756903,10645.656476666629,568.4935233333708,568.4935233333708
2010-02-18,13686.72,57,55,8577,11214.15,4778.6900000000005,16405.12,11016.941571428571,2671.156160407064,6297.03,14283.42,11214.15,0.2204866173539679,12869.952233333386,816.7677666666132,816.7677666666132
2010-02-19,7408.69,29,26,4429,13686.72,9458.92,8567.67,10724.051571428572,2966.5357945102564,6297.03,14283.42,11214.15,-0.4586949977788688,8655.846506666645,-1247.1565066666453,1247.1565066666453
