CustomerID,TotalRevenue,TotalQuantity,InvoiceCount,ProductVariety,AverageOrderValue,AverageQuantity,Recency,Frequency,Monetary,RevenuePerInvoice,RevenuePerProduct,CustomerLifetimeValue,RevenueContribution
14911.0,176206.16,109508,365,2482,17.971051504334522,11.168587455379908,1,365,176206.16,482.756602739726,70.99361804995971,6559.4337990821,2.0322211262987273
13089.0,52773.1,36031,164,793,19.839511278195488,13.545488721804512,4,164,52773.1,321.7871951219512,66.54867591424969,3253.67984962406,0.6086427893342399
17850.0,44914.020000000004,19753,155,93,18.776764214046825,8.257943143812708,372,155,44914.020000000004,289.76787096774194,482.9464516129033,2910.398453177258,0.5180024370941605
12971.0,6492.71,5963,106,95,20.944225806451612,19.23548387096774,4,106,6492.71,61.25198113207547,68.34431578947368,2220.0879354838708,0.07488173188117266
13408.0,8717.032000000001,7248,82,147,23.752130790190737,19.749318801089917,2,82,8717.032000000001,106.30526829268294,59.299537414966,1947.6747247956405,0.10053528542374483
14156.0,48787.55,29013,112,1302,17.282164364151612,10.277364505844846,10,112,48787.55,435.60312500000003,37.47123655913979,1935.6024087849805,0.5626766386053443
12748.0,36865.85,29119,313,2261,5.714749651216866,4.513873818012711,1,313,36865.85,117.78226837060703,16.305108359133126,1788.716640830879,0.42518127180661525
13767.0,11573.43,6397,70,101,22.78234251968504,12.59251968503937,2,70,11573.43,165.33471428571428,114.58841584158417,1594.763976377953,0.1334786987568396
16422.0,5137.360000000001,4270,71,61,22.4338864628821,18.646288209606986,17,71,5137.360000000001,72.35718309859156,84.21901639344263,1592.805938864629,0.05925020740138728
14298.0,50191.96,67730,72,1247,21.78470486111111,29.39670138888889,8,72,50191.96,697.1105555555555,40.250168404170005,1568.4987499999997,0.578873981944449
15061.0,6200.61,13263,69,76,22.14503571428571,47.36785714285714,4,69,6200.61,89.86391304347826,81.58697368421052,1528.0074642857141,0.07151288376035861
12471.0,18780.55,12052,73,244,20.237661637931033,12.987068965517242,2,73,18780.55,257.26780821917805,76.96946721311475,1477.3492995689655,0.216599865030312
12921.0,26631.74,17560,74,317,19.510432234432237,12.864468864468865,9,74,26631.74,359.8883783783784,84.01179810725553,1443.7719853479855,0.307149220311565
17675.0,18663.46,9374,64,329,21.576254335260113,10.83699421965318,1,64,18663.46,291.6165625,56.72784194528875,1380.8802774566473,0.21524944248164335
15311.0,22522.74,13666,202,779,6.6223875330785065,4.018229932372831,1,202,22522.74,111.49871287128714,28.912374839537872,1337.7222816818582,0.2597592958732737
13694.0,6250.28,14362,48,215,26.940862068965515,61.9051724137931,4,48,6250.28,130.21416666666667,29.07106976744186,1293.1613793103447,0.07208573787251484
13468.0,11785.08,5293,72,287,17.38212389380531,7.8067846607669615,2,72,11785.08,163.68166666666667,41.062996515679444,1251.5129203539823,0.13591970082726168
16168.0,5095.92,2258,57,119,20.631255060728744,9.1417004048583,11,57,5095.92,89.40210526315789,42.822857142857146,1175.9815384615383,0.0587722715365241
15078.0,16489.510000000002,8481,53,115,21.811521164021165,11.218253968253968,7,53,16489.510000000002,311.1228301886793,143.3870434782609,1156.0106216931217,0.1901768393585907
